contrast,odds.ratio,SE,df,z.ratio,p.value
C BUB / C TOM,0.07144034278184108,0.023950242456182175,Inf,-7.871460519465924,4.064526493152698e-13
C KAK / C TOM,0.06241804353542005,0.022602094221343665,Inf,-7.660416976461242,1.29396493520062e-12
C BUB / C EUC,0.08510442260446581,0.02863481121662561,Inf,-7.322792044548272,1.6104673150607596e-11
C EUC / C KAK,13.44872918489379,4.885074357346851,Inf,7.154792914626047,5.5369375751013195e-11
C BUB / U DRO,0.0931467181467664,0.031006845588522344,Inf,-7.130397450065478,6.611244884879852e-11
U DRO / C KAK,12.287564766810274,4.422523352012994,Inf,6.969874905485694,2.0935297939672637e-10
U BUB / C TOM,0.2096464784872545,0.05110036450700431,Inf,-6.4096906455158855,9.608794315774105e-9
U LAK / C TOM,0.17569243489045075,0.052174987492879514,Inf,-5.855923170014472,3.1147111290152907e-7
U BUB / C EUC,0.24974463738508895,0.06129203339211915,Inf,-5.652852344784211,1.0334461620908897e-6
C BUB / U EUC,0.15381329605475513,0.0519399541757619,Inf,-5.543726813844706,1.935481168335862e-6
U EUC / C KAK,7.441140404642088,2.7112736813899643,Inf,5.508314544115252,2.366470418402322e-6
U BUB / U DRO,0.27334529317345435,0.06573416191683895,Inf,-5.393453840678952,4.503173810621597e-6
C DRO / C TOM,0.2665505226480746,0.06577817091821263,Inf,-5.357869088832988,5.4816069262608735e-6
C EUC / U LAK,4.777914110429351,1.4254562401242161,Inf,5.2423055281089335,1.028860266183429e-5
C TOM / U TOM,3.0451574569221003,0.6771341622687538,Inf,5.007786081999115,3.539934892970997e-5
U DRO / U LAK,4.365388601036135,1.2847065563643698,Inf,5.0076063146686565,3.543212098966464e-5
C KAK / U KAK,0.17525276841639673,0.06504453871679951,Inf,-4.692280875853491,1.7045534473880686e-4
C BUB / U KAK,0.20058491327158093,0.0692000397170576,Inf,-4.656690915949324,2.021742415837524e-4
U KAK / C TOM,0.3561601000625345,0.07925271390048884,Inf,-4.639472142412167,2.1946770534253535e-4
C DRO / C EUC,0.31753246753246295,0.07888415549776308,Inf,-4.617725467597081,2.4332667948345765e-4
C KAK / U TOM,0.1900727707183726,0.0705272035723803,Inf,-4.474684678556054,4.736032017563785e-4
C BUB / U TOM,0.2175470925471943,0.07503000584156799,Inf,-4.422674157621766,6.000056028047096e-4
C KAK / C LAK,0.16391875746752876,0.0682454154794173,Inf,-4.343560874308716,8.549177935974761e-4
C DRO / U DRO,0.3475390156062412,0.08464353170949251,Inf,-4.3394510161856985,8.706211188023172e-4
C BUB / C LAK,0.18761261261270518,0.07376903651247109,Inf,-4.25580244196177,0.0012557817971567964
C EUC / U TOM,2.556237218813804,0.5731015266263971,Inf,4.186206830994969,0.0016928967501369518
U DRO / U TOM,2.3355314806090832,0.5109682948882505,Inf,3.877129028461162,0.005955444260670295
C EUC / U KAK,2.356927021335027,0.5287805936340322,Inf,3.821493865890302,0.00737798321349592
C DRO / C KAK,4.2704081632551745,1.6491362581496423,Inf,3.7591749559010394,0.009335899338782316
C BUB / C DRO,0.26801801801815794,0.09678458993688863,Inf,-3.6462375999288845,0.014124625083378861
U EUC / C TOM,0.464461425730123,0.09800594220279013,Inf,-3.6343171590706236,0.014741547417113643
U DRO / U KAK,2.1534297424792763,0.4714687078199955,Inf,3.5035489469720393,0.023276678672466633
C LAK / C TOM,0.3807864609258318,0.11108355714408094,Inf,-3.3097213687854152,0.043913417209250905
U EUC / U LAK,2.6436051502145097,0.7923213207126503,Inf,3.243587782638335,0.05388470262196565
U BUB / U EUC,0.45137543587757567,0.11152674438903326,Inf,-3.2194002042570786,0.05798172924033018
U BUB / C KAK,3.358747993571563,1.290593406933084,Inf,3.1530864171999666,0.07057638828994728
C BUB / U BUB,0.34076576576593587,0.12235136343303019,Inf,-2.998370942599307,0.10885069625910226
C EUC / U EUC,1.807347859812445,0.3848579060582142,Inf,2.7794616947122517,0.18865172769361438
C EUC / C LAK,2.204498977505081,0.6461850469230438,Inf,2.6968389745034353,0.22756019051422438
C KAK / U LAK,0.35526881720513165,0.14922340374386947,Inf,-2.4638279101548886,0.3630002720295451
U DRO / C LAK,2.014162348877325,0.582090596575455,Inf,2.422858805107585,0.3902720905282149
U DRO / U EUC,1.6513012923590027,0.3421985759268507,Inf,2.420327680301302,0.3919849160147879
U KAK / U LAK,2.0271794871794597,0.624218199309278,Inf,2.2948659378589955,0.4801809774989019
C BUB / U LAK,0.4066216216218198,0.16147215266144377,Inf,-2.2660718162669293,0.5011056830192309
C DRO / U EUC,0.5738916256157616,0.14351410768555453,Inf,-2.2206211257894135,0.5344081933724896
C LAK / U LAK,2.167346938775497,0.7826606070160504,Inf,2.1419899011365353,0.592210171310382
U BUB / U KAK,0.5886298842864341,0.1512669568712872,Inf,-2.0622410207001107,0.6499867224941192
U LAK / U TOM,0.5350111282314567,0.16468285492358123,Inf,-2.031979571008335,0.6714175978904338
U BUB / C LAK,0.5505617977528059,0.1755124370597805,Inf,-1.8721415691344614,0.7767744022310273
U BUB / U TOM,0.6384065372829217,0.16397259310370416,Inf,-1.7472680999827983,0.8461129990673403
U EUC / U TOM,1.4143581740147544,0.3196685869062399,Inf,1.5338504608494292,0.9314011707233911
U DRO / C TOM,0.7669657525590571,0.15587799287952697,Inf,-1.305418940040483,0.9786509756030926
C DRO / U LAK,1.5171428571428045,0.49441305628657706,Inf,1.2790700605749217,0.9817901466748131
U EUC / U KAK,1.3040804560886323,0.29494369277376975,Inf,1.1738883435817364,0.9909024888909986
C DRO / U KAK,0.748400852878449,0.1944774731955556,Inf,-1.11529086571143,0.9940913973345512
C DRO / C LAK,0.6999999999999799,0.22477752149163865,Inf,-1.1107536870247632,0.9942939284377119
U BUB / C DRO,0.7865168539326024,0.2188476020768083,Inf,-0.8630437000565405,0.9994194336668993
C EUC / C TOM,0.8394433637587747,0.17549395148727187,Inf,-0.8371584565282358,0.9995656074100501
C DRO / U TOM,0.8116883116882676,0.2108150032180444,Inf,-0.8033096581824255,0.9997079863586849
U EUC / C LAK,1.2197424892703554,0.35923241892358143,Inf,0.6744640659509694,0.9999480495988353
U BUB / U LAK,1.1932584269662783,0.3861333324601471,Inf,0.5460138140636761,0.9999940110193892
C LAK / U TOM,1.1595547309832726,0.3510594107393617,Inf,0.4889654864940873,0.9999981071003261
U DRO / C EUC,0.9136599152143097,0.1875230088573277,Inf,-0.4399493303045648,0.9999993786265684
U KAK / U TOM,1.0845635845635484,0.256822969803693,Inf,0.34281339995650745,0.9999999566964606
C BUB / C KAK,1.144546332044214,0.5126574957318407,Inf,0.30141625519022786,0.9999999891850517
U KAK / C LAK,0.9353276353276282,0.2832807927412723,Inf,-0.2207509644206519,0.9999999996323277
