Strata,Site,prob,SE,df,asymp.LCL,asymp.UCL
C,BUB,0.05431309904155987,0.012810131996497729,Inf,0.034027479152885266,0.08562016422232926
U,BUB,0.14423076923077088,0.019889780774635477,Inf,0.10944492160809642,0.18774208154635819
C,DRO,0.1764705882352927,0.023872924997445366,Inf,0.13442294015158524,0.228203211883953
U,DRO,0.38141025641025506,0.027499211685398033,Inf,0.3291554575748807,0.43656219190552087
C,EUC,0.40293040293040405,0.029685623444434768,Inf,0.34635139899150036,0.46221625957509666
U,EUC,0.27187499999999876,0.024872109403341596,Inf,0.22593900845066942,0.32325018008695844
C,KAK,0.04778156996597782,0.01246132549249867,Inf,0.028499425117936985,0.07904812340431248
U,KAK,0.22259136212624783,0.02397704104179015,Inf,0.17913762010259104,0.2730791619675328
C,LAK,0.23437500000000341,0.037441971704440885,Inf,0.1690003260298199,0.3154392163527891
U,LAK,0.12376237623762648,0.02317018936235947,Inf,0.08501843634077502,0.17675168588399945
C,TOM,0.4456521739130495,0.029918143990791103,Inf,0.3880273340794253,0.5047760297706864
U,TOM,0.20886075949367827,0.022867113542193774,Inf,0.16755665529495023,0.25720078634210414
